,itr_id,cost,greenFue,a_cost,a_greenFue,parents,domin
0,0,31944784.0943155,9.28348365249675e-14,100.0,0.0,[none],0
1,1,57588764.6167203,2683.0,0.0,100.0,[none],0
2,2,43121217.5145908,1513.6662906564,56.42,56.42,"[0, 1]",0
3,3,37531363.2860114,757.054920591592,78.21,28.22,"[0, 2]",0
4,4,49908976.4014429,2134.38210221382,29.95,79.55,"[1, 2]",0
5,5,53714457.1616279,2411.14942337013,15.11,89.87,"[1, 4]",0
6,6,34736436.6517053,378.749300527074,89.11,14.12,"[0, 3]",0
7,7,40326290.4003011,1135.360605624,67.32,42.32,"[2, 3]",0
8,8,46128157.475029,1859.40840191589,44.69,69.3,"[2, 4]",0
9,9,55616891.9159348,2549.51085621012,7.69,95.02,"[1, 5]",0
10,10,51811716.7815354,2272.76576279198,22.53,84.71,"[4, 5]",0
11,11,48018566.9382359,1996.89525206486,37.32,74.43,"[4, 8]",0
12,12,33338974.2945188,189.596620430511,94.56,7.07,"[0, 6]",0
13,13,41723753.9574459,1324.5134481402,61.87,49.37,"[2, 7]",0
14,14,38928826.8431563,946.207763107796,72.77,35.27,"[3, 7]",0
15,15,36133899.9688584,567.902110559333,83.66,21.17,"[3, 6]",0
16,16,44502330.9445043,1700.60607149705,51.03,63.38,"[2, 8]",0
17,17,56590629.5368099,2617.08124102797,3.89,97.54,"[1, 9]",0
18,18,52763086.9715817,2341.95759308105,18.82,87.29,"[5, 10]",0
19,19,54665674.5387814,2480.33013979012,11.4,92.45,"[5, 9]",0
20,20,50860346.5914892,2203.5739325029,26.24,82.13,"[4, 10]",0
21,21,48963771.6698394,2065.63867713934,33.63,76.99,"[4, 11]",0
22,22,47073362.2066325,1928.15182699037,41.01,71.87,"[8, 11]",0
23,23,32640245.035854,95.0205402530002,97.29,3.54,"[0, 12]",0
24,24,42422485.7360183,1419.0898693983,59.14,52.89,"[2, 13]",0
25,25,38230095.0645838,851.631341849694,75.49,31.74,"[3, 14]",0
26,26,35435168.3102818,473.325705543204,86.39,17.64,"[6, 15]",0
27,27,34037705.473112,284.172960478792,91.84,10.59,"[6, 12]",0
28,28,41025022.1788735,1229.9370268821,64.59,45.84,"[7, 13]",0
29,29,39627558.6217287,1040.7841843659,70.04,38.79,"[7, 14]",0
30,30,36832631.6274349,662.478515575464,80.94,24.69,"[3, 15]",0
31,31,43811774.2295475,1607.13618107673,53.72,59.9,"[2, 16]",0
32,32,45196237.724056,1791.63117499939,48.33,66.78,"[8, 16]",0
