,itr,cost,carbBal,water,greenFTot,carb,carbCap,actS_BTL,actS_CTL,actS_OTL,actS_PTL
0,0,3.19e+07,9.84e+02,4.47e+04,9.28e-14,9.84e+02,0.00e+00,0.00e+00,0.00e+00,2.98e+03,0.00e+00
1,1,5.76e+07,6.90e+02,1.15e+04,2.68e+03,6.90e+02,0.00e+00,3.83e+03,0.00e+00,6.23e-13,0.00e+00
2,2,4.31e+07,8.18e+02,2.60e+04,1.51e+03,8.18e+02,0.00e+00,2.16e+03,0.00e+00,1.30e+03,0.00e+00
3,3,3.75e+07,9.01e+02,3.53e+04,7.57e+02,9.01e+02,0.00e+00,1.08e+03,0.00e+00,2.14e+03,0.00e+00
4,4,4.99e+07,7.50e+02,1.83e+04,2.13e+03,7.50e+02,0.00e+00,3.05e+03,0.00e+00,6.10e+02,0.00e+00
5,5,5.37e+07,7.20e+02,1.49e+04,2.41e+03,7.20e+02,0.00e+00,3.44e+03,0.00e+00,3.02e+02,0.00e+00
6,6,3.47e+07,9.42e+02,4.00e+04,3.79e+02,9.42e+02,0.00e+00,5.41e+02,0.00e+00,2.56e+03,0.00e+00
7,7,4.03e+07,8.59e+02,3.07e+04,1.14e+03,8.59e+02,0.00e+00,1.62e+03,0.00e+00,1.72e+03,0.00e+00
8,8,4.61e+07,7.80e+02,2.17e+04,1.86e+03,7.80e+02,0.00e+00,2.66e+03,0.00e+00,9.15e+02,0.00e+00
9,9,5.56e+07,7.05e+02,1.32e+04,2.55e+03,7.05e+02,0.00e+00,3.64e+03,0.00e+00,1.48e+02,0.00e+00
10,10,5.18e+07,7.35e+02,1.66e+04,2.27e+03,7.35e+02,0.00e+00,3.25e+03,0.00e+00,4.56e+02,0.00e+00
11,11,4.80e+07,7.65e+02,2.00e+04,2.00e+03,7.65e+02,0.00e+00,2.85e+03,0.00e+00,7.62e+02,0.00e+00
12,12,3.33e+07,9.63e+02,4.24e+04,1.90e+02,9.63e+02,0.00e+00,2.71e+02,0.00e+00,2.77e+03,0.00e+00
13,13,4.17e+07,8.39e+02,2.83e+04,1.32e+03,8.39e+02,0.00e+00,1.89e+03,0.00e+00,1.51e+03,0.00e+00
14,14,3.89e+07,8.80e+02,3.30e+04,9.46e+02,8.80e+02,0.00e+00,1.35e+03,0.00e+00,1.93e+03,0.00e+00
15,15,3.61e+07,9.22e+02,3.77e+04,5.68e+02,9.22e+02,0.00e+00,8.11e+02,0.00e+00,2.35e+03,0.00e+00
16,16,4.45e+07,7.98e+02,2.37e+04,1.70e+03,7.98e+02,0.00e+00,2.43e+03,0.00e+00,1.09e+03,0.00e+00
17,17,5.66e+07,6.97e+02,1.23e+04,2.62e+03,6.97e+02,0.00e+00,3.74e+03,0.00e+00,7.32e+01,0.00e+00
18,18,5.28e+07,7.27e+02,1.57e+04,2.34e+03,7.27e+02,0.00e+00,3.35e+03,0.00e+00,3.79e+02,0.00e+00
19,19,5.47e+07,7.12e+02,1.40e+04,2.48e+03,7.12e+02,0.00e+00,3.54e+03,0.00e+00,2.25e+02,0.00e+00
20,20,5.09e+07,7.42e+02,1.74e+04,2.20e+03,7.42e+02,0.00e+00,3.15e+03,0.00e+00,5.33e+02,0.00e+00
21,21,4.90e+07,7.58e+02,1.91e+04,2.07e+03,7.58e+02,0.00e+00,2.95e+03,0.00e+00,6.86e+02,0.00e+00
22,22,4.71e+07,7.73e+02,2.08e+04,1.93e+03,7.73e+02,0.00e+00,2.75e+03,0.00e+00,8.39e+02,0.00e+00
23,23,3.26e+07,9.73e+02,4.35e+04,9.50e+01,9.73e+02,0.00e+00,1.36e+02,0.00e+00,2.88e+03,0.00e+00
24,24,4.24e+07,8.28e+02,2.71e+04,1.42e+03,8.28e+02,0.00e+00,2.03e+03,0.00e+00,1.40e+03,0.00e+00
25,25,3.82e+07,8.90e+02,3.42e+04,8.52e+02,8.90e+02,0.00e+00,1.22e+03,0.00e+00,2.03e+03,0.00e+00
26,26,3.54e+07,9.32e+02,3.89e+04,4.73e+02,9.32e+02,0.00e+00,6.76e+02,0.00e+00,2.46e+03,0.00e+00
27,27,3.40e+07,9.53e+02,4.12e+04,2.84e+02,9.53e+02,0.00e+00,4.06e+02,0.00e+00,2.67e+03,0.00e+00
28,28,4.10e+07,8.49e+02,2.95e+04,1.23e+03,8.49e+02,0.00e+00,1.76e+03,0.00e+00,1.61e+03,0.00e+00
29,29,3.96e+07,8.70e+02,3.18e+04,1.04e+03,8.70e+02,0.00e+00,1.49e+03,0.00e+00,1.82e+03,0.00e+00
30,30,3.68e+07,9.11e+02,3.65e+04,6.62e+02,9.11e+02,0.00e+00,9.46e+02,0.00e+00,2.25e+03,0.00e+00
31,31,4.38e+07,8.08e+02,2.48e+04,1.61e+03,8.08e+02,0.00e+00,2.30e+03,0.00e+00,1.20e+03,0.00e+00
32,32,4.52e+07,7.88e+02,2.25e+04,1.79e+03,7.88e+02,0.00e+00,2.56e+03,0.00e+00,9.90e+02,0.00e+00
